         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1653    0.316    0.000    0.316    0.000 {built-in method marshal.loads}
     1250    0.116    0.000    0.116    0.000 {built-in method builtins.compile}
3826/3722    0.072    0.000    0.342    0.000 {built-in method builtins.__build_class__}
    11435    0.063    0.000    0.063    0.000 {built-in method posix.stat}
     3800    0.048    0.000    0.050    0.000 version.py:114(_parse_version_parts)
      153    0.048    0.000    0.048    0.000 {built-in method _imp.create_dynamic}
     3945    0.044    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
   3091/1    0.039    0.000    2.876    2.876 {built-in method builtins.exec}
     1657    0.038    0.000    0.038    0.000 {built-in method io.open_code}
      337    0.033    0.000    0.089    0.000 doccer.py:12(docformat)
        1    0.032    0.032    0.205    0.205 arc_generators.py:147(gen_remaining_arcs)
     2581    0.032    0.000    0.055    0.000 inspect.py:625(cleandoc)
 1165/356    0.029    0.000    0.080    0.000 sre_parse.py:493(_parse)
     1668    0.029    0.000    0.029    0.000 {method 'sub' of 're.Pattern' objects}
     1783    0.027    0.000    0.027    0.000 {method 'read' of '_io.BufferedReader' objects}
204256/201823    0.027    0.000    0.028    0.000 {built-in method builtins.len}
    19999    0.027    0.000    0.049    0.000 sortedlist.py:250(add)
  153/125    0.023    0.000    0.056    0.000 {built-in method _imp.exec_dynamic}
    46452    0.023    0.000    0.024    0.000 {built-in method builtins.getattr}
   112881    0.022    0.000    0.024    0.000 {built-in method builtins.isinstance}
     1655    0.022    0.000    0.481    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    21994    0.022    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1507    0.021    0.000    0.056    0.000 inspect.py:2112(_signature_from_function)
      631    0.021    0.000    0.021    0.000 {method 'findall' of 're.Pattern' objects}
    20000    0.020    0.000    0.028    0.000 random.py:547(gammavariate)
41078/41070    0.018    0.000    0.022    0.000 {method 'join' of 'str' objects}
     1914    0.018    0.000    0.215    0.000 <frozen importlib._bootstrap>:890(_find_spec)
   135100    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    21994    0.017    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.017    0.017    0.420    0.420 generator.py:57(build_instance)
     3310    0.017    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
    30008    0.016    0.000    0.024    0.000 random.py:250(_randbelow_with_getrandbits)
    10000    0.016    0.000    0.020    0.000 data_structure.py:29(add_arc)
